ElectionDate	OfficeCode(Text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyName	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nominated(N)/Elected(E)
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		5928			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			97			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			17			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			12			
11/3/2020	1	0	0	6	ARENAC	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			3			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		1478			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		2512			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			31			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			5			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			10			
11/3/2020	1	0	0	7	BARAGA	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			0			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		11804			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		23473			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			479			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			59			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			83			
11/3/2020	1	0	0	8	BARRY	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			16			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		26653			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		33347			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			695			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			102			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			156			
11/3/2020	1	0	0	9	BAY	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			32			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5480			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		6600			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			128			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			13			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			29			
11/3/2020	1	0	0	10	BENZIE	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			9			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		37438			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		43518			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			1062			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			140			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			173			
11/3/2020	1	0	0	11	BERRIEN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			47			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6161			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		14066			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			216			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			38			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			47			
11/3/2020	1	0	0	12	BRANCH	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			12			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		28815			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		36176			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			903			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			131			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			146			
11/3/2020	1	0	0	13	CALHOUN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			40			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		9130			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		16699			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			286			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			40			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			45			
11/3/2020	1	0	0	14	CASS	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			13			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6939			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		9841			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			160			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			13			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			43			
11/3/2020	1	0	0	15	CHARLEVOIX	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			4			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5435			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10171			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			194			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			18			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			23			
11/3/2020	1	0	0	16	CHEBOYGAN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			8			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6651			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10682			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			233			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			26			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			39			
11/3/2020	1	0	0	17	CHIPPEWA	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			13			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5199			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10861			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			162			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			22			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			34			
11/3/2020	1	0	0	18	CLARE	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			3			
11/3/2020	1	0	0	19	CLINTON	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		21963			
11/3/2020	1	0	0	19	CLINTON	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		25095			
11/3/2020	1	0	0	19	CLINTON	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			659			
11/3/2020	1	0	0	19	CLINTON	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			63			
11/3/2020	1	0	0	19	CLINTON	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			94			
11/3/2020	1	0	0	19	CLINTON	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			28			
11/3/2020	1	0	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		2612			
11/3/2020	1	0	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		4955			
11/3/2020	1	0	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			67			
11/3/2020	1	0	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			4			
11/3/2020	1	0	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			23			
11/3/2020	1	0	0	20	CRAWFORD	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			4			
11/3/2020	1	0	0	21	DELTA	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		7606			
11/3/2020	1	0	0	21	DELTA	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		13207			
11/3/2020	1	0	0	21	DELTA	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			249			
11/3/2020	1	0	0	21	DELTA	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			33			
11/3/2020	1	0	0	21	DELTA	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			42			
11/3/2020	1	0	0	21	DELTA	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			14			
11/3/2020	1	0	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		4569			
11/3/2020	1	0	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		8469			
11/3/2020	1	0	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			166			
11/3/2020	1	0	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			14			
11/3/2020	1	0	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			15			
11/3/2020	1	0	0	22	DICKINSON	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			10			
11/3/2020	1	0	0	23	EATON	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		31297			
11/3/2020	1	0	0	23	EATON	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		31797			
11/3/2020	1	0	0	23	EATON	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			895			
11/3/2020	1	0	0	23	EATON	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			114			
11/3/2020	1	0	0	23	EATON	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			166			
11/3/2020	1	0	0	23	EATON	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			32			
11/3/2020	1	0	0	24	EMMET	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		9662			
11/3/2020	1	0	0	24	EMMET	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		12135			
11/3/2020	1	0	0	24	EMMET	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			284			
11/3/2020	1	0	0	24	EMMET	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			26			
11/3/2020	1	0	0	24	EMMET	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			59			
11/3/2020	1	0	0	24	EMMET	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			10			
11/3/2020	1	0	0	25	GENESEE	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		120082			
11/3/2020	1	0	0	25	GENESEE	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		99199			
11/3/2020	1	0	0	25	GENESEE	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			2241			
11/3/2020	1	0	0	25	GENESEE	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			323			
11/3/2020	1	0	0	25	GENESEE	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			553			
11/3/2020	1	0	0	25	GENESEE	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			106			
11/3/2020	1	0	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		4524			
11/3/2020	1	0	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		9893			
11/3/2020	1	0	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			142			
11/3/2020	1	0	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			18			
11/3/2020	1	0	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			25			
11/3/2020	1	0	0	26	GLADWIN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			1			
11/3/2020	1	0	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		3573			
11/3/2020	1	0	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		4600			
11/3/2020	1	0	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			67			
11/3/2020	1	0	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			4			
11/3/2020	1	0	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			21			
11/3/2020	1	0	0	27	GOGEBIC	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			4			
11/3/2020	1	0	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		28682			
11/3/2020	1	0	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		30502			
11/3/2020	1	0	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			796			
11/3/2020	1	0	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			64			
11/3/2020	1	0	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			151			
11/3/2020	1	0	0	28	GD. TRAVERSE	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			31			
11/3/2020	1	0	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		6693			
11/3/2020	1	0	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		12102			
11/3/2020	1	0	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			240			
11/3/2020	1	0	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			31			
11/3/2020	1	0	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			49			
11/3/2020	1	0	0	29	GRATIOT	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			11			
11/3/2020	1	0	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5883			
11/3/2020	1	0	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		17037			
11/3/2020	1	0	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			261			
11/3/2020	1	0	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			38			
11/3/2020	1	0	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			56			
11/3/2020	1	0	0	30	HILLSDALE	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			13			
11/3/2020	1	0	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		7755			
11/3/2020	1	0	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		10380			
11/3/2020	1	0	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			285			
11/3/2020	1	0	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			28			
11/3/2020	1	0	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			49			
11/3/2020	1	0	0	31	HOUGHTON	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			11			
11/3/2020	1	0	0	32	HURON	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		5349			
11/3/2020	1	0	0	32	HURON	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		11949			
11/3/2020	1	0	0	32	HURON	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			139			
11/3/2020	1	0	0	32	HURON	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			22			
11/3/2020	1	0	0	32	HURON	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			32			
11/3/2020	1	0	0	32	HURON	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			17			
11/3/2020	1	0	0	33	INGHAM	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		94221			
11/3/2020	1	0	0	33	INGHAM	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		47640			
11/3/2020	1	0	0	33	INGHAM	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			1872			
11/3/2020	1	0	0	33	INGHAM	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			221			
11/3/2020	1	0	0	33	INGHAM	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			456			
11/3/2020	1	0	0	33	INGHAM	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			104			
